,epoch,step
0,0,0
1,1,2527
2,2,5054
3,3,7581
4,4,10108
5,5,12635
6,6,15162
7,7,17689
8,8,20216
9,9,22743
10,10,25270
11,11,27797
12,12,30324
13,13,32851
14,14,35378
15,15,37905
16,16,40432
17,17,42959
18,18,45486
19,19,48013
20,20,50540
21,21,53067
22,22,55594
23,23,58121
24,24,60648
25,25,63175
26,26,65702
27,27,68229
28,28,70756
29,29,73283
30,30,75810
31,31,78337
32,32,80864
33,33,83391
34,34,85918
35,35,88445
36,36,90972
37,37,93499
38,38,96026
39,39,98553
40,40,101080
41,41,103607
42,42,106134
43,43,108661
44,44,111188
45,45,113715
46,46,116242
47,47,118769
48,48,121296
49,49,123823
50,50,126350
