,epoch,step
0,0,0
1,1,2527
2,2,5054
3,3,7581
4,4,10108
5,5,12635
6,6,15162
7,7,17689
8,8,20216
9,9,22743
10,10,25270
11,11,27797
12,12,30324
13,13,32851
14,14,35378
15,15,37905
16,16,40432
17,17,42959
18,18,45486
19,19,48013
20,20,50540
21,21,53067
22,22,55594
23,23,58121
24,24,60648
25,25,63175
26,26,65702
27,27,68229
28,28,70756
29,29,73283
30,30,75810
31,31,78337
32,32,80864
33,33,83391
34,34,85918
35,35,88445
36,36,90972
37,37,93499
38,38,96026
39,39,98553
40,40,101080
41,41,103607
42,42,106134
43,43,108661
44,44,111188
45,45,113715
46,46,116242
47,47,118769
48,48,121296
49,49,123823
50,50,126350
51,51,128877
52,52,131404
53,53,133931
54,54,136458
55,55,138985
56,56,141512
57,57,144039
58,58,146566
59,59,149093
60,60,151620
61,61,154147
62,62,156674
63,63,159201
64,64,161728
65,65,164255
66,66,166782
67,67,169309
68,68,171836
69,69,174363
70,70,176890
71,71,179417
72,72,181944
73,73,184471
74,74,186998
75,75,189525
76,76,192052
77,77,194579
78,78,197106
79,79,199633
80,80,202160
81,81,204687
82,82,207214
83,83,209741
84,84,212268
85,85,214795
86,86,217322
87,87,219849
88,88,222376
89,89,224903
90,90,227430
91,91,229957
92,92,232484
93,93,235011
94,94,237538
95,95,240065
96,96,242592
97,97,245119
98,98,247646
99,99,250173
100,100,252700
101,101,255227
102,102,257754
103,103,260281
104,104,262808
105,105,265335
106,106,267862
107,107,270389
108,108,272916
109,109,275443
110,110,277970
111,111,280497
112,112,283024
113,113,285551
114,114,288078
115,115,290605
116,116,293132
117,117,295659
118,118,298186
119,119,300713
120,120,303240
121,121,305767
122,122,308294
123,123,310821
124,124,313348
125,125,315875
126,126,318402
127,127,320929
128,128,323456
129,129,325983
130,130,328510
131,131,331037
132,132,333564
133,133,336091
134,134,338618
135,135,341145
136,136,343672
137,137,346199
138,138,348726
139,139,351253
140,140,353780
141,141,356307
142,142,358834
143,143,361361
144,144,363888
145,145,366415
146,146,368942
147,147,371469
148,148,373996
149,149,376523
150,150,379050
